token_id,token,similarity,type
408,Ġchildren,0.0791,residual
419,Ġearly,0.0668,residual
431,Ġreported,0.0375,residual
441,Ġable,0.0521,residual
449,Ġk,0.0387,residual
459,le,0.0496,residual
469,ĠYork,0.0532,residual
479,Ġ.,0.0468,residual
487,N,0.0384,residual
495,D,0.0554,residual
504,Ġ18,0.0561,residual
512,Ġcar,0.0633,residual
521,Ġstudents,0.0587,residual
530,K,0.0484,residual
540,Ġless,0.0396,residual
548,ve,0.0419,residual
558,Ġoffice,0.1118,residual
569,Ġvideo,0.1276,residual
578,âĢĶ,0.0258,residual
588,Ġreal,0.0649,residual
599,ĠTwitter,0.0486,residual
608,Ġdoing,0.0578,residual
618,Ġpost,0.0494,residual
628,Ġlate,0.0616,residual
638,Ġrecord,0.0653,residual
647,Ġsales,0.1302,residual
659,Ġrights,0.0523,residual
668,Ġfire,0.0951,residual
676,Ġexperience,0.0978,residual
684,Ġknown,0.0259,residual
694,Ġprovide,0.0696,residual
703,Ġreleased,0.0471,residual
711,ĺ,0.096,residual
720,Ġglobal,0.074,residual
728,Ġminutes,0.0734,residual
736,Ġdirector,0.0855,residual
744,Ġdeath,0.0713,residual
755,ĠHigh,0.04,residual
763,ra,0.0432,residual
771,W,0.0719,residual
780,Ġspecial,0.0654,residual
788,ĠBank,0.1288,residual
796,ĠEuropean,0.0677,residual
804,Ġonline,0.07,residual
813,Ġstaff,0.059,residual
822,Ġfilm,0.1072,residual
833,ine,0.0752,residual
841,Ġfans,0.1145,residual
849,Ġ#,0.0376,residual
857,ay,0.0411,residual
865,Ġhand,0.0462,residual
877,ate,0.0444,residual
885,Ġw,0.0512,residual
893,Ġteams,0.0484,residual
902,ĠFebruary,0.0485,residual
911,Ġareas,0.0687,residual
920,Ġchild,0.0896,residual
928,ĠLondon,0.0471,residual
937,Ġgeneral,0.0777,residual
946,Ġhold,0.039,residual
954,Ġ2019,0.0351,residual
963,Ġinvolved,0.0613,residual
972,Ġmeet,0.0639,residual
981,Ġleading,0.045,residual
989,Ġleave,0.0589,residual
998,Ġwebsite,0.0619,residual
1006,Ġworked,0.0363,residual
1015,Ġrace,0.0542,residual
1023,ig,0.031,residual
1032,Ġfight,0.0786,residual
1041,Ġparents,0.0654,residual
1049,Ġmain,0.07,residual
1058,Ġtraining,0.0886,residual
1068,Ġsituation,0.053,residual
1076,Ġal,0.0717,residual
1084,Ġmid,0.0481,residual
1092,12,0.0445,residual
1101,ĠKorea,0.1004,residual
1110,Ġterms,0.0638,residual
1119,Ġbuild,0.0811,residual
1129,Ġcomment,0.0722,residual
1138,Ġworkers,0.0704,residual
1146,Ġbrought,0.0677,residual
1154,Ġlargest,0.0692,residual
1162,Ġrates,0.0382,residual
1170,Ġefforts,0.0643,residual
1178,x,0.0603,residual
1187,nd,0.0507,residual
1197,Ġgrowing,0.033,residual
1205,Ġhttps,0.0353,residual
1214,ĠRoad,0.0134,residual
1223,ĠRe,0.0259,residual
1232,Ġfamilies,0.0694,residual
1241,Ġvia,0.0281,residual
1249,Ġended,0.0629,residual
1257,ĠApple,0.0647,residual
1267,Ġleague,0.0719,residual
1275,Ġred,0.0401,residual
1283,Ġevidence,0.0999,residual
1291,Ġrelationship,0.047,residual
1299,Ġfelt,0.0501,residual
1307,Ġhuge,0.0576,residual
1316,Ġaccount,0.0778,residual
1325,Ġreceive,0.0522,residual
1334,ter,0.0327,residual
1344,ins,0.0512,residual
1352,ville,0.0413,residual
1360,17,0.0546,residual
1368,Ġh,0.0445,residual
1376,á,0.0899,residual
1384,ĠDistrict,0.0419,residual
1393,Ġdriver,0.0624,residual
1402,Ġcertain,0.0594,residual
1413,Ġstand,0.0556,residual
1422,ĠAngeles,0.1211,residual
1432,Ġfollowed,0.0223,residual
1441,Ġfriend,0.0723,residual
1449,Ġclaims,0.0528,residual
1458,Ġrose,0.0534,residual
1467,Ġknew,0.0526,residual
1475,Ġanti,0.0974,residual
1483,ĠMike,0.0558,residual
1493,Ġelse,0.0529,residual
1501,ĠBay,0.0337,residual
1509,ĠMc,0.0381,residual
1517,op,0.0389,residual
1527,ling,0.0457,residual
1538,ized,0.063,residual
1547,ĠBrown,0.0363,residual
1555,ĠâĢ¦,0.0321,residual
1563,ĠCanadian,0.0399,residual
1572,Ġforces,0.0685,residual
1582,ĠSuper,0.0331,residual
1591,Ġnote,0.0565,residual
1600,ĠGermany,0.0619,residual
1608,ĠSe,0.0279,residual
1618,Ġleaving,0.0347,residual
1627,ale,0.0709,residual
1635,ations,0.0716,residual
1643,ĠParty,0.0601,residual
1652,Ġstories,0.0947,residual
1660,Ġlaunched,0.0503,residual
1669,Ġguys,0.0484,residual
1677,Ġcars,0.0927,residual
1686,Ġtalking,0.0778,residual
1695,Ġclaimed,0.0292,residual
1703,Ġtraffic,0.0869,residual
1715,Ġsources,0.0555,residual
1723,ES,0.0427,residual
1733,Ġgrow,0.0438,residual
1742,ara,0.0569,residual
1751,Ġgun,0.0606,residual
1759,Ġpro,0.0412,residual
1767,Ġprograms,0.0705,residual
1775,ĠMac,0.0465,residual
1784,Ġpartner,0.0705,residual
1792,ub,0.0447,residual
1803,Ġblock,0.0522,residual
1811,ĠSch,0.0325,residual
1819,Ġcertainly,0.0491,residual
1827,ous,0.031,residual
1836,Ġsize,0.0324,residual
1845,wood,0.0677,residual
1854,ĠSyria,0.0987,residual
1862,ING,0.0713,residual
