id,gen_topic,kind,det_topic,topic_z,topic_p,topic_ok,kgw_score,kgw_p,kgw_ok
0,technology,plain,history,0.4874,0.3415972938974386,False,0.4829059829059829,0.7218043600220176,False
0,technology,layer1 (topic),technology,8.3142,1.4624757470499026e-14,True,0.5384615384615384,0.1331947056041409,False
0,technology,layer2 (kgw),history,-0.1199,0.577712222662338,False,0.5683760683760684,0.021239997195887844,False
0,technology,dual,technology,7.538,2.2022932494818575e-12,True,0.5811965811965812,0.007696907973992196,False
1,history,plain,history,-1.476,0.9478419581594723,False,0.5238095238095238,0.25532831729718186,False
1,history,layer1 (topic),history,7.4868,4.7585839272566916e-11,True,0.49783549783549785,0.5523272703944806,False
1,history,layer2 (kgw),history,-0.6612,0.7740037991991935,False,0.5714285714285714,0.017512552969648484,False
1,history,dual,history,6.8757,1.0512839481684572e-09,True,0.5800865800865801,0.0088317491979012,False
2,history,plain,history,-2.9537,0.9995990227301508,False,0.47863247863247865,0.7639194482429148,False
2,history,layer1 (topic),history,6.5599,4.723613626712661e-09,True,0.48717948717948717,0.67633497273928,False
2,history,layer2 (kgw),history,-2.7513,0.999035235169627,False,0.6025641025641025,0.0010285705728025915,True
2,history,dual,history,6.3575,1.2225732083064483e-08,True,0.594017094017094,0.0024162650688280625,False
3,history,plain,history,-0.4624,0.710050158441887,False,0.4461538461538462,0.9425390745427235,False
3,history,layer1 (topic),history,11.091,1.5138485886902403e-20,True,0.4868421052631579,0.6784798713364418,False
3,history,layer2 (kgw),history,0.2256,0.4407753564813982,False,0.5701754385964912,0.019917748782894158,False
3,history,dual,history,8.2209,9.345513562568649e-13,True,0.6228070175438597,0.0001265275025176705,True
4,history,plain,history,-1.6597,0.9662433054724737,False,0.5217391304347826,0.276489608372551,False
4,history,layer1 (topic),history,10.5883,4.421160125931708e-19,True,0.5304347826086957,0.1956919515393253,False
4,history,layer2 (kgw),history,0.3817,0.38071811079905277,False,0.5826086956521739,0.007260224377153852,False
4,history,dual,history,13.0378,9.022745764740532e-27,True,0.6478260869565218,4.324826400581997e-06,True
5,history,plain,history,0.7622,0.25027251645262877,False,0.49327354260089684,0.6055603751815963,False
5,history,layer1 (topic),history,7.566,3.206226618437387e-11,True,0.519650655021834,0.2985709555816315,False
5,history,layer2 (kgw),history,0.4061,0.3716534578927255,False,0.5807860262008734,0.008585771399871208,False
5,history,dual,history,6.4509,8.364580204918774e-09,True,0.6061946902654868,0.0008543984904464025,True
6,history,plain,history,-0.2538,0.6301993749198397,False,0.5194805194805194,0.2993666798053818,False
6,history,layer1 (topic),history,10.1349,8.595381530138712e-18,True,0.45021645021645024,0.9429391675951359,False
6,history,layer2 (kgw),history,0.4842,0.37124938575231686,False,0.5740740740740741,0.17044547061004856,False
6,history,dual,history,9.1164,5.0048245390669494e-15,True,0.6103896103896104,0.000480648475390669,True
7,history,plain,history,0.6356,0.29053584490351414,False,0.5482456140350878,0.0820774459341436,False
7,history,layer1 (topic),history,13.5042,2.7258853590264774e-28,True,0.4888888888888889,0.6553755593852391,False
7,history,layer2 (kgw),history,2.2826,0.030939842031209266,False,0.4642857142857143,0.7142059057950974,False
7,history,dual,history,5.9766,6.656854872627546e-07,True,0.5576923076923077,0.24422783468994602,False
